Timer optical-flow     on rank  71 :  89129 ms,   1856 ms,    596 ms,   2783 ms,  48 (total, mean, min, max, timings)
Timer map              on rank   0 :    698 ms,     11 ms,      5 ms,     18 ms,  60 (total, mean, min, max, timings)
Timer map              on rank   1 :    639 ms,     10 ms,      5 ms,     16 ms,  60 (total, mean, min, max, timings)
Timer map              on rank   2 :    660 ms,     11 ms,      5 ms,     16 ms,  60 (total, mean, min, max, timings)
Timer map              on rank   3 :    641 ms,     10 ms,      5 ms,     16 ms,  60 (total, mean, min, max, timings)
Timer map              on rank   4 :    655 ms,     10 ms,      5 ms,     16 ms,  60 (total, mean, min, max, timings)
Timer map              on rank   5 :    657 ms,     10 ms,      5 ms,     16 ms,  60 (total, mean, min, max, timings)
Timer map              on rank   6 :    658 ms,     10 ms,      5 ms,     16 ms,  60 (total, mean, min, max, timings)
Timer map              on rank   7 :    657 ms,     10 ms,      6 ms,     15 ms,  60 (total, mean, min, max, timings)
Timer map              on rank   8 :    658 ms,     10 ms,      5 ms,     16 ms,  60 (total, mean, min, max, timings)
Timer map              on rank   9 :    649 ms,     10 ms,      6 ms,     17 ms,  60 (total, mean, min, max, timings)
Timer map              on rank  10 :    661 ms,     11 ms,      5 ms,     18 ms,  60 (total, mean, min, max, timings)
Timer map              on rank  11 :    654 ms,     10 ms,      6 ms,     16 ms,  60 (total, mean, min, max, timings)
Timer map              on rank  12 :    649 ms,     10 ms,      6 ms,     16 ms,  60 (total, mean, min, max, timings)
Timer map              on rank  13 :    639 ms,     10 ms,      5 ms,     16 ms,  60 (total, mean, min, max, timings)
Timer map              on rank  14 :    651 ms,     10 ms,      6 ms,     15 ms,  60 (total, mean, min, max, timings)
Timer map              on rank  15 :    638 ms,     10 ms,      6 ms,     15 ms,  60 (total, mean, min, max, timings)
Timer map              on rank  16 :    680 ms,     11 ms,      6 ms,     15 ms,  60 (total, mean, min, max, timings)
Timer map              on rank  17 :    636 ms,     10 ms,      5 ms,     14 ms,  60 (total, mean, min, max, timings)
Timer map              on rank  18 :    661 ms,     11 ms,      6 ms,     16 ms,  60 (total, mean, min, max, timings)
Timer map              on rank  19 :    674 ms,     11 ms,      6 ms,     16 ms,  60 (total, mean, min, max, timings)
Timer map              on rank  20 :    642 ms,     10 ms,      5 ms,     15 ms,  60 (total, mean, min, max, timings)
Timer map              on rank  21 :    650 ms,     10 ms,      6 ms,     15 ms,  60 (total, mean, min, max, timings)
Timer map              on rank  22 :    647 ms,     10 ms,      5 ms,     15 ms,  60 (total, mean, min, max, timings)
